Trading name,Latitude,Longitude,CLUE small area,Building address
Baretto Cafe,-37.8002345,144.959290144,Carlton,153-163 Barry Street CARLTON 3053
Baretto Cafe,-37.8002345,144.959290144,Carlton,153-163 Barry Street CARLTON 3053
Cafe Cavallino,-37.80144719,144.966511727,Carlton,177-183 Lygon Street CARLTON 3053
Cafe Cavallino,-37.80144719,144.966511727,Carlton,177-183 Lygon Street CARLTON 3053
Tigerlily Cafe,-37.8008183,144.965779235,Carlton,111-113 Grattan Street CARLTON 3053
The Original Baked Potato Cafe,-37.80443919,144.966708698,Carlton,114 Lygon Street CARLTON 3053
The Monte Bar & Cafe,-37.80370014,144.966122154,Carlton,149 Lygon Street CARLTON 3053
Cafe Crema On Swanston,-37.80555355,144.963522272,Carlton,470-496 Swanston Street CARLTON 3053
Cafe Ami,-37.80555355,144.963522272,Carlton,470-496 Swanston Street CARLTON 3053
Shanti Bhagwan Cafe,-37.79739955,144.961256278,Parkville,156-292 Grattan Street PARKVILLE 3010
Blue Zone Cafe,-37.79739955,144.961256278,Parkville,156-292 Grattan Street PARKVILLE 3010
Cafe Platinum,-37.79859593,144.943033713,North Melbourne,36-58 Macaulay Road NORTH MELBOURNE 3051
Cafe Plum,-37.79508461,144.94843325,North Melbourne,193 Flemington Road NORTH MELBOURNE 3051
Rubicon Cafe Bar Restaurant,-37.8041118,144.950053468,North Melbourne,44-50 Errol Street NORTH MELBOURNE 3051
Rubicon Cafe Bar Restaurant,-37.8041118,144.950053468,North Melbourne,44-50 Errol Street NORTH MELBOURNE 3051
Verve Cafe,-37.80497441,144.949561253,North Melbourne,502-506 Victoria Street NORTH MELBOURNE 3051
Victoria Street Cafe,-37.80580596,144.957399667,North Melbourne,268-276 Victoria Street NORTH MELBOURNE 3051
Avist Cafe,-37.7986663,144.952996474,North Melbourne,87-89 Flemington Road NORTH MELBOURNE 3051
Cafe 655,-37.80643102,144.944913838,West Melbourne (Residential),655-657 Spencer Street WEST MELBOURNE 3003
Embassy Cafe,-37.80811247,144.947796656,West Melbourne (Residential),541-547 Spencer Street WEST MELBOURNE 3003
Blue Pepper Cafe,-37.80751855,144.952412331,West Melbourne (Residential),56 Rosslyn Street WEST MELBOURNE 3003
Blue Pepper Cafe,-37.80751855,144.952412331,West Melbourne (Residential),56 Rosslyn Street WEST MELBOURNE 3003
Hungry Boys Cafe,-37.8088619,144.951694924,West Melbourne (Residential),477 King Street WEST MELBOURNE 3003
Ardten Bliss Cafe,-37.79900528,144.934950501,Kensington,330-344 Arden Street KENSINGTON 3031
The Gatehouse Cafe,-37.79170926,144.91945494,Kensington,10 Gatehouse Drive KENSINGTON 3031
George Street Cafe,-37.81575893,144.988193634,East Melbourne,63-65 George Street EAST MELBOURNE 3002
The V Lounge Cafe,-37.81638773,144.98763945,East Melbourne,74 Wellington Parade EAST MELBOURNE 3002
Cafe On Albert,-37.81042932,144.988147894,East Melbourne,84-90 Albert Street EAST MELBOURNE 3002
Brunellis Cafe,-37.81004787,144.985634782,East Melbourne,158 Albert Street EAST MELBOURNE 3002
Degani Bakery Cafe,-37.80964052,144.978714188,East Melbourne,372-380 Albert Street EAST MELBOURNE 3002
Degani Bakery Cafe,-37.80964052,144.978714188,East Melbourne,372-380 Albert Street EAST MELBOURNE 3002
Aromatic Cafe,-37.80899182,144.973531735,East Melbourne,1-4 Nicholson Street EAST MELBOURNE 3002
Aromatic Cafe,-37.80899182,144.973531735,East Melbourne,1-4 Nicholson Street EAST MELBOURNE 3002
Cafe Ecco,-37.80849789,144.97362842,East Melbourne,6-8 Nicholson Street EAST MELBOURNE 3002
Zouki Cafe Eye & Ear Hospital,-37.80899185,144.976265135,East Melbourne,126-142 Victoria Parade EAST MELBOURNE 3002
Olive Cafe,-37.81680896,144.979993082,East Melbourne,61-71 Agnes Street JOLIMONT 3002
Cafe George,-37.8354848,144.975729209,Melbourne (Remainder),391 St Kilda Road MELBOURNE 3004
Rice Cafe & Bar,-37.8354848,144.975729209,Melbourne (Remainder),391 St Kilda Road MELBOURNE 3004
Cafe George,-37.8354848,144.975729209,Melbourne (Remainder),391 St Kilda Road MELBOURNE 3004
Xinnia Cafe Bar,-37.83070593,144.966305543,Southbank,100 Dorcas Street SOUTHBANK 3006
Xinnia Cafe Bar,-37.83070593,144.966305543,Southbank,100 Dorcas Street SOUTHBANK 3006
Cyber Cafe/Mezzanine Cafe,-37.82281838,144.968643286,Southbank,130-200 St Kilda Road SOUTHBANK 3006
Cafe Promenade,-37.83909997,144.977544961,Melbourne (Remainder),435-437 St Kilda Road MELBOURNE 3004
Yarras Edge Bar & Cafe,-37.82488167,144.946365432,Docklands,58-70 Lorimer Street DOCKLANDS 3008
Cafe Port IT,-37.82295301,144.925391701,Port Melbourne,59-85 Turner Street PORT MELBOURNE 3207
Cafe Port IT,-37.82295301,144.925391701,Port Melbourne,59-85 Turner Street PORT MELBOURNE 3207
Ocean View Cafe & Bar,-37.82410059,144.90651397,Port Melbourne,263-329 Lorimer Street FISHERMANS BEND 3207
Riverwalk Cafe,-37.82082646,144.963838104,Southbank,6 Riverside Quay SOUTHBANK 3006
The Bond Store Cafe,-37.82193722,144.96388384,Southbank,23-43 Southbank Boulevard SOUTHBANK 3006
Cafe Domain,-37.83431865,144.98170899,South Yarra,161-173 Domain Road SOUTH YARRA 3141
Cafe Fawkner,-37.83804387,144.980010618,South Yarra,65W Toorak Road SOUTH YARRA 3141
Alf's Cafe,-37.8463373,144.982673446,Melbourne (Remainder),23-99 Commercial Road MELBOURNE 3004
Red Cafe,-37.78493032,144.958572147,Parkville,367-377 Royal Parade PARKVILLE 3052
Cafe Royale,-37.79539794,144.95756078,Parkville,53 Royal Parade PARKVILLE 3052
Cafe Royale,-37.79539794,144.95756078,Parkville,53 Royal Parade PARKVILLE 3052
Royal Fig Cafe,-37.79859221,144.955828029,Parkville,300-336 Grattan Street PARKVILLE 3050
Concourse Cafe,-37.81650633,144.94755965,Docklands,122-148 Harbour Esplanade DOCKLANDS 3008
Cafe 23,-37.81814378,144.947457705,Docklands,744-770 Bourke Street DOCKLANDS 3008
Banc Cafe,-37.8188853,144.945131951,Docklands,788-812 Bourke Street DOCKLANDS 3008
Liquid  Bar Cafe Lounge,-37.81460673,144.941270977,Docklands,16-32 Rakaia Way DOCKLANDS 3008
Time Out Cafe,-37.81784479,144.969917621,Melbourne (CBD),2 Swanston Street MELBOURNE 3000
Full Plate Cafe,-37.81988484,144.956601685,Melbourne (CBD),517-537 Flinders Lane MELBOURNE 3000
Cafe Rema,-37.81936892,144.958100062,Melbourne (CBD),475-485 Flinders Lane MELBOURNE 3000
Williams Bar Cafe,-37.81943285,144.959510564,Melbourne (CBD),1-13 William Street MELBOURNE 3000
Degani Bakery Cafe,-37.81786011,144.962744504,Melbourne (CBD),353-355 Flinders Lane MELBOURNE 3000
D Corner Cafe,-37.81584246,144.972041157,Melbourne (CBD),1-9 Exhibition Street MELBOURNE 3000
Coco Latte Cafe,-37.81584246,144.972041157,Melbourne (CBD),1-9 Exhibition Street MELBOURNE 3000
Cafe 53,-37.8148555,144.972835271,Melbourne (CBD),55 Flinders Lane MELBOURNE 3000
No 8 Exhibition Cafe,-37.81546181,144.972720932,Melbourne (CBD),46-74 Flinders Street MELBOURNE 3000
Cafe Paci,-37.81880462,144.956362277,Melbourne (CBD),539-557 Collins Street MELBOURNE 3000
Saluti Cafe,-37.8186626,144.957550966,Melbourne (CBD),505-535 Collins Street MELBOURNE 3000
Rush Cafe,-37.81746814,144.960868075,Melbourne (CBD),415-417 Collins Street MELBOURNE 3000
Cafenatics Pty Ltd,-37.81797777,144.959876637,Melbourne (CBD),433-455 Collins Street MELBOURNE 3000
Java Cafe,-37.81728072,144.962446259,Melbourne (CBD),359-373 Collins Street MELBOURNE 3000
Issus Cafe Bar,-37.8166033,144.965596579,Melbourne (CBD),252-254 Flinders Lane MELBOURNE 3000
Choix Creperie Cafe,-37.81867545,144.954350497,Melbourne (CBD),612-624 Collins Street MELBOURNE 3000
Lido Cafe,-37.81861166,144.954568784,Melbourne (CBD),608-610 Collins Street MELBOURNE 3000
Hydra Cafe,-37.8176551,144.957951436,Melbourne (CBD),480-490 Collins Street MELBOURNE 3000
Cafe Cicculata,-37.81679183,144.959996472,Melbourne (CBD),422-428 Collins Street MELBOURNE 3000
